last_updated,target,temp_c,is_day,wind_kph,wind_degree,pressure_mb,humidity,cloud,feelslike_c,windchill_c,heatindex_c,dewpoint_c,vis_km,gust_kph,uv,wind_degree_sin,wind_degree_cos,lat,lon,futur_target
1736290800,0.0,4.2,0,11.2,222,1007.0,81,22,1.5,1.5,4.2,1.2,10.0,19.0,0.0,-0.6691306063588582,-0.7431448254773942,48.7167,2.25,0.0
1736294400,0.0,4.0,0,11.5,212,1007.0,83,24,1.2,1.2,4.0,1.3,10.0,19.4,0.0,-0.5299192642332048,-0.8480480961564261,48.7167,2.25,0.0
1736298000,0.0,3.9,0,11.5,221,1007.0,84,49,1.0,1.0,3.9,1.5,10.0,19.5,0.0,-0.656059028990507,-0.7547095802227721,48.7167,2.25,0.0
1736301600,0.0,3.9,0,11.9,221,1007.0,84,16,0.9,0.9,3.9,1.4,10.0,20.4,0.0,-0.656059028990507,-0.7547095802227721,48.7167,2.25,0.0
1736305200,0.0,4.0,0,11.2,222,1007.0,83,88,1.2,1.2,4.0,1.4,10.0,19.0,0.0,-0.6691306063588582,-0.7431448254773942,48.7167,2.25,0.0
1736308800,0.0,4.1,0,11.5,211,1006.0,83,100,1.3,1.3,4.1,1.5,10.0,19.3,0.0,-0.5150380749100542,-0.8571673007021123,48.7167,2.25,0.0
1736312400,0.0,4.3,0,10.4,209,1006.0,84,52,1.8,1.8,4.3,1.8,10.0,17.1,0.0,-0.4848096202463369,-0.8746197071393959,48.7167,2.25,0.0
1736316000,0.0,4.4,0,6.8,195,1005.0,85,53,2.8,2.8,4.4,2.1,10.0,11.4,0.0,-0.2588190451025208,-0.9659258262890684,48.7167,2.25,0.7
1736319600,0.7,4.4,0,6.1,172,1005.0,87,68,3.0,3.0,4.4,2.5,9.7,10.1,0.0,0.1391731009600653,-0.9902680687415704,48.7167,2.25,1.5
1736323200,1.5,4.4,1,5.8,148,1004.0,90,84,3.2,3.2,4.4,2.9,9.3,8.6,2.0,0.5299192642332049,-0.848048096156426,48.7167,2.25,2.2
1736326800,2.2,4.5,1,5.0,125,1004.0,93,100,3.5,3.5,4.5,3.4,9.0,7.1,1.0,0.8191520442889917,-0.5735764363510462,48.7167,2.25,1.8
1736330400,1.8,4.3,1,6.8,111,1003.0,93,100,2.7,2.7,4.3,3.2,9.0,9.7,1.0,0.9335804264972016,-0.3583679495453002,48.7167,2.25,1.3
1736334000,1.3,4.2,1,9.0,97,1003.0,93,100,2.0,2.0,4.2,3.1,9.0,12.2,1.0,0.992546151641322,-0.1218693434051473,48.7167,2.25,0.85
1736337600,0.85,4.0,1,10.8,83,1002.0,93,100,1.3,1.3,4.0,2.9,9.0,15.0,1.0,0.992546151641322,0.1218693434051474,48.7167,2.25,1.5
